"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 22 07:40:06 GMT 2024","Mon Apr 22 07:40:10 GMT 2024","4585","","UI tests","","InvalidDataTest","CreateProjectWithInvalidDataTest","CreateProjectWithInvalidDataTest","Тест на использование некорректных данных
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:38 GMT 2024","6652","","UI tests","","ProjectTest","CreateAndDeleteProjectTest","CreateAndDeleteProjectTest","Тест на создание и удаление сущности
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","59","","API tests","","ProjectTest","RequiredFieldTest","RequiredFieldTest","Проверяем, что поле title обязательно для заполнения
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","62","","API tests","","ProjectTest","GetAllProjectsTest","GetAllProjectsTest","Тест на получение данных о всех проектах
"
"passed","Mon Apr 22 07:40:10 GMT 2024","Mon Apr 22 07:40:14 GMT 2024","4065","","UI tests","","InvalidDataTest","CreatProjectWithUpperBoundProjectCodeTest","CreatProjectWithUpperBoundProjectCodeTest","Тест на ввод данных превышающих допустимые
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","74","","API tests","","ProjectTest","GetProjectTest","GetProjectTest","Тест на получение данных о проекте по коду проекта
"
"passed","Mon Apr 22 07:39:38 GMT 2024","Mon Apr 22 07:39:43 GMT 2024","5690","","UI tests","","BoundaryProjectTest","LowerBoundProjectCodeTest","LowerBoundProjectCodeTest","Создание проекта. Проверяем минимальное количество символов для кода проекта
"
"passed","Mon Apr 22 07:39:30 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","646","","API tests","","ProjectTest","CreateTest","CreateTest","Тест на создание проекта
"
"passed","Mon Apr 22 07:39:49 GMT 2024","Mon Apr 22 07:39:56 GMT 2024","6875","","UI tests","","FileUploadTest","ProjectLogoUploadTest","ProjectLogoUploadTest","Тест на загрузку изображения в профиль проекта
"
"passed","Mon Apr 22 07:39:43 GMT 2024","Mon Apr 22 07:39:49 GMT 2024","6090","","UI tests","","BoundaryProjectTest","UpperBoundProjectCodeTest","UpperBoundProjectCodeTest","Создание проекта. Проверяем максимальное количество символов для кода проекта
"
"passed","Mon Apr 22 07:39:56 GMT 2024","Mon Apr 22 07:40:06 GMT 2024","9182","","UI tests","","HoverTest","HoverSuiteTreeTest","HoverSuiteTreeTest","Тест на отображении подсказки при наведении курсора
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","56","","API tests","","ProjectTest","GetProjectByIncorrectCode","GetProjectByIncorrectCode","Проверяем, что возвращается ошибка если не правильно указан код проекта
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","71","","API tests","","ProjectTest","BoundaryTest","BoundaryTest","Проверяем, что возвращается ошибка если поле code длинной более 10 символов
"
"passed","Mon Apr 22 07:39:31 GMT 2024","Mon Apr 22 07:39:31 GMT 2024","151","","API tests","","ProjectTest","DeleteProjectTest","DeleteProjectTest","Тест на удаление проекта по коду
"
